"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
2023-09-24 04:20:00,190603,10.84,-0.014,-2558,-2861,,
2023-09-24 04:21:00,190604,11.91,-0.015,-2558,-2861,,
2023-09-24 04:22:00,190605,11.89,-0.015,-2557,-2861,,
2023-09-24 04:23:00,190606,11.61,-0.015,-2558,-2861,,
2023-09-24 04:24:00,190607,11.74,-0.015,-2557,-2861,,
2023-09-24 04:25:00,190608,11.9,-0.016,-2557,-2860,,
2023-09-24 04:26:00,190609,11.89,-0.016,-2558,-2861,,
2023-09-24 04:27:00,190610,11.64,-0.016,-2558,-2861,,
2023-09-24 04:28:00,190611,11.9,-0.015,-2557,-2860,,
2023-09-24 04:29:00,190612,11.89,-0.015,-2557,-2860,,
2023-09-24 04:30:00,190613,11.65,-0.015,-2557,-2860,,
2023-09-24 04:31:00,190614,11.76,-0.015,-2557,-2860,,
2023-09-24 04:32:00,190615,11.9,-0.015,-2558,-2861,,
2023-09-24 04:33:00,190616,11.9,-0.014,-2558,-2861,,
2023-09-24 04:34:00,190617,11.66,-0.015,-2558,-2861,,
2023-09-24 04:35:00,190618,11.9,-0.015,-2557,-2860,,
2023-09-24 04:36:00,190619,11.9,-0.014,-2557,-2860,,
2023-09-24 04:37:00,190620,11.69,-0.014,-2557,-2860,,
2023-09-24 04:38:00,190621,11.33,-0.013,-2557,-2860,,
2023-09-24 04:39:00,190622,11.5,-0.013,-2556,-2859,,
2023-09-24 04:40:00,190623,11.91,-0.013,-2557,-2860,,
2023-09-24 04:41:00,190624,11.9,-0.013,-2557,-2861,,
2023-09-24 04:42:00,190625,11.35,-0.012,-2558,-2862,,
2023-09-24 04:43:00,190626,11.76,-0.012,-2558,-2861,,
2023-09-24 04:44:00,190627,11.89,-0.012,-2557,-2860,,
2023-09-24 04:45:00,190628,11.89,-0.012,-2558,-2861,,
2023-09-24 04:46:00,190629,11.6,-0.012,-2557,-2860,,
2023-09-24 04:47:00,190630,11.74,-0.013,-2557,-2860,,
2023-09-24 04:48:00,190631,11.9,-0.013,-2558,-2861,,
2023-09-24 04:49:00,190632,11.89,-0.014,-2557,-2861,,
2023-09-24 04:50:00,190633,11.67,-0.014,-2557,-2860,,
2023-09-24 04:51:00,190634,11.91,-0.014,-2558,-2861,,
2023-09-24 04:52:00,190635,11.9,-0.014,-2557,-2861,,
2023-09-24 04:53:00,190636,11.62,-0.014,-2556,-2859,,
2023-09-24 04:54:00,190637,11.21,-0.015,-2555,-2859,,
