"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
"2023-09-21 06:15:00",186398,11.47,-0.013,-2559,-2867
"2023-09-21 06:16:00",186399,11.61,-0.014,-2558,-2867
"2023-09-21 06:17:00",186400,11.9,-0.013,-2559,-2866
"2023-09-21 06:18:00",186401,11.89,-0.014,-2558,-2866
"2023-09-21 06:19:00",186402,11.67,-0.015,-2558,-2865
"2023-09-21 06:20:00",186403,11.89,-0.013,-2559,-2865
"2023-09-21 06:21:00",186404,11.89,-0.013,-2558,-2865
"2023-09-21 06:22:00",186405,11.65,-0.013,-2558,-2866
"2023-09-21 06:23:00",186406,11.77,-0.012,-2559,-2867
"2023-09-21 06:24:00",186407,11.9,-0.012,-2559,-2869
"2023-09-21 06:25:00",186408,11.89,-0.012,-2559,-2869
"2023-09-21 06:26:00",186409,11.69,-0.011,-2559,-2869
"2023-09-21 06:27:00",186410,11.88,-0.012,-2558,-2867
"2023-09-21 06:28:00",186411,11.89,-0.012,-2558,-2867
"2023-09-21 06:29:00",186412,11.67,-0.012,-2558,-2867
"2023-09-21 06:30:00",186413,11.89,-0.011,-2559,-2867
"2023-09-21 06:31:00",186414,11.9,-0.011,-2559,-2868
"2023-09-21 06:32:00",186415,11.89,-0.013,-2558,-2867
"2023-09-21 06:33:00",186416,11.69,-0.012,-2558,-2867
"2023-09-21 06:34:00",186417,11.9,-0.011,-2559,-2867
"2023-09-21 06:35:00",186418,11.89,-0.011,-2558,-2867
"2023-09-21 06:36:00",186419,11.57,-0.012,-2558,-2868
"2023-09-21 06:37:00",186420,11.88,-0.012,-2559,-2868
"2023-09-21 06:38:00",186421,11.9,-0.012,-2559,-2869
"2023-09-21 06:39:00",186422,11.85,-0.012,-2558,-2868
"2023-09-21 06:40:00",186423,11.7,-0.013,-2558,-2868
"2023-09-21 06:41:00",186424,11.9,-0.012,-2558,-2867
"2023-09-21 06:42:00",186425,11.89,-0.012,-2558,-2867
"2023-09-21 06:43:00",186426,11.7,-0.011,-2558,-2867
"2023-09-21 06:44:00",186427,11.89,-0.012,-2558,-2867
"2023-09-21 06:45:00",186428,11.9,-0.012,-2559,-2867
"2023-09-21 06:46:00",186429,11.79,-0.011,-2558,-2867
"2023-09-21 06:47:00",186430,11.78,-0.012,-2558,-2866
"2023-09-21 06:48:00",186431,11.9,-0.012,-2558,-2867
"2023-09-21 06:49:00",186432,11.89,-0.011,-2558,-2867
"2023-09-21 06:50:00",186433,11.68,-0.01,-2558,-2866
"2023-09-21 06:51:00",186434,11.89,-0.009,-2561,-2868
"2023-09-21 06:52:00",186435,11.9,-0.01,-2558,-2868
"2023-09-21 06:53:00",186436,11.67,-0.009,-2556,-2866
"2023-09-21 06:54:00",186437,11.86,-0.009,-2556,-2865
"2023-09-21 06:55:00",186438,11.9,-0.007,-2557,-2866
"2023-09-21 06:56:00",186439,11.9,-0.006,-2557,-2866
"2023-09-21 06:57:00",186440,11.48,-0.003,-2557,-2866
"2023-09-21 06:58:00",186441,11.89,-0.001,-2556,-2865
"2023-09-21 06:59:00",186442,11.9,0.001,-2556,-2865
"2023-09-21 07:00:00",186443,11.68,0.004,-2557,-2865
"2023-09-21 07:01:00",186444,11.25,0.008,-2557,-2865
"2023-09-21 07:02:00",186445,11.7,0.01,-2557,-2864
"2023-09-21 07:03:00",186446,11.91,0.014,-2558,-2865
"2023-09-21 07:04:00",186447,11.9,0.018,-2559,-2865
"2023-09-21 07:05:00",186448,11.82,0.023,-2559,-2866
"2023-09-21 07:06:00",186449,11.63,0.028,-2560,-2865
"2023-09-21 07:07:00",186450,11.9,0.033,-2560,-2865
"2023-09-21 07:08:00",186451,11.89,0.039,-2559,-2865
"2023-09-21 07:09:00",186452,11.47,0.044,-2559,-2864
