id_historial,grd_id,tipo_registro,timestamp,direccion,valor,tipo_historico,tiempo_insercion
66793842,8,11,2021-09-09 02:20:00,2,9803,1,2021-09-09 02:20:00
66793843,8,11,2021-09-09 02:20:00,3,699,1,2021-09-09 02:20:00
66793844,8,11,2021-09-09 02:20:00,4,48,1,2021-09-09 02:20:00
66793845,8,11,2021-09-09 02:20:00,5,1932,1,2021-09-09 02:20:00
66793846,8,11,2021-09-09 02:20:00,6,398,1,2021-09-09 02:20:00
66793847,8,11,2021-09-09 02:20:00,7,0,1,2021-09-09 02:20:00
66793848,8,11,2021-09-09 02:20:00,8,0,1,2021-09-09 02:20:00
66793849,8,11,2021-09-09 02:30:00,1,100,1,2021-09-09 02:30:00
66793850,8,11,2021-09-09 02:30:00,2,9803,1,2021-09-09 02:30:00
66793851,8,11,2021-09-09 02:30:00,3,698,1,2021-09-09 02:30:00
66793852,8,11,2021-09-09 02:30:00,4,47,1,2021-09-09 02:30:00
66793853,8,11,2021-09-09 02:30:00,5,1842,1,2021-09-09 02:30:00
66793854,8,11,2021-09-09 02:30:00,6,237,1,2021-09-09 02:30:00
66793855,8,11,2021-09-09 02:30:00,7,0,1,2021-09-09 02:30:00
66793856,8,11,2021-09-09 02:30:00,8,0,1,2021-09-09 02:30:00
66793857,8,11,2021-09-09 02:40:00,1,99,1,2021-09-09 02:40:00
66793858,8,11,2021-09-09 02:40:00,2,9805,1,2021-09-09 02:40:00
66793859,8,11,2021-09-09 02:40:00,3,701,1,2021-09-09 02:40:00
66793860,8,11,2021-09-09 02:40:00,4,47,1,2021-09-09 02:40:00
66793861,8,11,2021-09-09 02:40:00,5,2114,1,2021-09-09 02:40:00
66793862,8,11,2021-09-09 02:40:00,6,102,1,2021-09-09 02:40:00
66793863,8,11,2021-09-09 02:40:00,7,0,1,2021-09-09 02:40:00
66793864,8,11,2021-09-09 02:40:00,8,0,1,2021-09-09 02:40:00
66793865,8,11,2021-09-09 02:50:00,1,98,1,2021-09-09 02:50:01
66793866,8,11,2021-09-09 02:50:00,2,9804,1,2021-09-09 02:50:01
66793867,8,11,2021-09-09 02:50:00,3,707,1,2021-09-09 02:50:01
66793868,8,11,2021-09-09 02:50:00,4,47,1,2021-09-09 02:50:01
66793869,8,11,2021-09-09 02:50:00,5,1854,1,2021-09-09 02:50:01
66793870,8,11,2021-09-09 02:50:00,6,160,1,2021-09-09 02:50:01
66793871,8,11,2021-09-09 02:50:00,7,0,1,2021-09-09 02:50:01
66793872,8,11,2021-09-09 02:50:00,8,0,1,2021-09-09 02:50:01
66793873,8,11,2021-09-09 03:00:00,1,96,1,2021-09-09 03:00:01
66793874,8,11,2021-09-09 03:00:00,2,9803,1,2021-09-09 03:00:01
66793875,8,11,2021-09-09 03:00:00,3,711,1,2021-09-09 03:00:01
66793876,8,11,2021-09-09 03:00:00,4,47,1,2021-09-09 03:00:01
66793877,8,11,2021-09-09 03:00:00,5,2150,1,2021-09-09 03:00:01
66793878,8,11,2021-09-09 03:00:00,6,226,1,2021-09-09 03:00:01
66793879,8,11,2021-09-09 03:00:00,7,0,1,2021-09-09 03:00:01
66793880,8,11,2021-09-09 03:00:00,8,0,1,2021-09-09 03:00:01
66793881,8,11,2021-09-09 03:10:00,1,96,1,2021-09-09 03:10:01
66793882,8,11,2021-09-09 03:10:00,2,9803,1,2021-09-09 03:10:01
66793883,8,11,2021-09-09 03:10:00,3,710,1,2021-09-09 03:10:01
66793884,8,11,2021-09-09 03:10:00,4,46,1,2021-09-09 03:10:01
66793885,8,11,2021-09-09 03:10:00,5,2131,1,2021-09-09 03:10:01
66793886,8,11,2021-09-09 03:10:00,6,197,1,2021-09-09 03:10:01
66793887,8,11,2021-09-09 03:10:00,7,0,1,2021-09-09 03:10:01
66793888,8,11,2021-09-09 03:10:00,8,0,1,2021-09-09 03:10:01
66793889,8,11,2021-09-09 03:20:00,1,96,1,2021-09-09 03:20:01
66793890,8,11,2021-09-09 03:20:00,2,9801,1,2021-09-09 03:20:01
66793891,8,11,2021-09-09 03:20:00,3,709,1,2021-09-09 03:20:01
66793892,8,11,2021-09-09 03:20:00,4,46,1,2021-09-09 03:20:01
66793893,8,11,2021-09-09 03:20:00,5,1992,1,2021-09-09 03:20:01
66793894,8,11,2021-09-09 03:20:00,6,210,1,2021-09-09 03:20:01
66793895,8,11,2021-09-09 03:20:00,7,0,1,2021-09-09 03:20:01
66793896,8,11,2021-09-09 03:20:00,8,0,1,2021-09-09 03:20:01
66793897,8,11,2021-09-09 03:30:00,1,95,1,2021-09-09 03:30:00
66793898,8,11,2021-09-09 03:30:00,2,9801,1,2021-09-09 03:30:00
66793899,8,11,2021-09-09 03:30:00,3,713,1,2021-09-09 03:30:00
66793900,8,11,2021-09-09 03:30:00,4,45,1,2021-09-09 03:30:00
66793901,8,11,2021-09-09 03:30:00,5,1950,1,2021-09-09 03:30:00
66793902,8,11,2021-09-09 03:30:00,6,149,1,2021-09-09 03:30:00
66793903,8,11,2021-09-09 03:30:00,7,0,1,2021-09-09 03:30:00
66793904,8,11,2021-09-09 03:30:00,8,0,1,2021-09-09 03:30:00
66793905,8,11,2021-09-09 03:40:00,1,95,1,2021-09-09 03:40:00
66793906,8,11,2021-09-09 03:40:00,2,9800,1,2021-09-09 03:40:00
66793907,8,11,2021-09-09 03:40:00,3,714,1,2021-09-09 03:40:00
66793908,8,11,2021-09-09 03:40:00,4,46,1,2021-09-09 03:40:00
66793909,8,11,2021-09-09 03:40:00,5,2020,1,2021-09-09 03:40:00
66793910,8,11,2021-09-09 03:40:00,6,115,1,2021-09-09 03:40:00
66793911,8,11,2021-09-09 03:40:00,7,0,1,2021-09-09 03:40:00
66793912,8,11,2021-09-09 03:40:00,8,0,1,2021-09-09 03:40:00
66793913,8,11,2021-09-09 03:50:00,1,94,1,2021-09-09 03:50:00
66793914,8,11,2021-09-09 03:50:00,2,9796,1,2021-09-09 03:50:00
66793915,8,11,2021-09-09 03:50:00,3,718,1,2021-09-09 03:50:00
66793916,8,11,2021-09-09 03:50:00,4,46,1,2021-09-09 03:50:00
66793917,8,11,2021-09-09 03:50:00,5,1915,1,2021-09-09 03:50:00
66793918,8,11,2021-09-09 03:50:00,6,212,1,2021-09-09 03:50:00
66793919,8,11,2021-09-09 03:50:00,7,0,1,2021-09-09 03:50:00
66793920,8,11,2021-09-09 03:50:00,8,0,1,2021-09-09 03:50:00
66793921,8,11,2021-09-09 04:00:00,1,95,1,2021-09-09 04:00:00
66793922,8,11,2021-09-09 04:00:00,2,9796,1,2021-09-09 04:00:00
66793923,8,11,2021-09-09 04:00:00,3,716,1,2021-09-09 04:00:00
66793924,8,11,2021-09-09 04:00:00,4,46,1,2021-09-09 04:00:00
66793925,8,11,2021-09-09 04:00:00,5,2051,1,2021-09-09 04:00:00
66793926,8,11,2021-09-09 04:00:00,6,381,1,2021-09-09 04:00:00
66793927,8,11,2021-09-09 04:00:00,7,0,1,2021-09-09 04:00:00
66793928,8,11,2021-09-09 04:00:00,8,0,1,2021-09-09 04:00:00
66793929,8,11,2021-09-09 04:10:00,1,96,1,2021-09-09 04:10:00
66793930,8,11,2021-09-09 04:10:00,2,9793,1,2021-09-09 04:10:00
66793931,8,11,2021-09-09 04:10:00,3,711,1,2021-09-09 04:10:00
